Category,Subfolder,Tag ID,Average Distance (cm)
straight,s3,0,22.481615466186575
straight,s3,2,23.11331860224413
straight,s3,10,22.577627008133835
straight,s3,12,25.43853458391352
straight,s19,0,
straight,s19,2,
straight,s19,10,
straight,s19,12,
straight,s12,0,
straight,s12,2,44.975168890470165
straight,s12,10,43.46799284536426
straight,s12,12,
straight,s0,0,5.864858435954682
straight,s0,2,5.824643951586877
straight,s0,10,
straight,s0,12,
straight,s23,0,
straight,s23,2,
straight,s23,10,
straight,s23,12,
straight,s24,0,
straight,s24,2,
straight,s24,10,
straight,s24,12,
straight,s26,0,
straight,s26,2,
straight,s26,10,
straight,s26,12,
straight,s15,0,
straight,s15,2,
straight,s15,10,54.77537653395284
straight,s15,12,
straight,s27,0,
straight,s27,2,
straight,s27,10,
straight,s27,12,
straight,s20,0,
straight,s20,2,
straight,s20,10,
straight,s20,12,
straight,s2,0,15.340547280093103
straight,s2,2,15.911048255426168
straight,s2,10,14.968987281993918
straight,s2,12,16.391488811559313
straight,s36,0,
straight,s36,2,
straight,s36,10,
straight,s36,12,
straight,s21,0,
straight,s21,2,
straight,s21,10,
straight,s21,12,
straight,s13,0,
straight,s13,2,
straight,s13,10,46.697048501589634
straight,s13,12,
straight,s25,0,
straight,s25,2,
straight,s25,10,
straight,s25,12,
straight,s32,0,
straight,s32,2,
straight,s32,10,
straight,s32,12,
straight,s35,0,
straight,s35,2,
straight,s35,10,
straight,s35,12,
straight,s1,0,9.596442387271914
straight,s1,2,9.973498720893664
straight,s1,10,
straight,s1,12,
straight,s17,0,
straight,s17,2,
straight,s17,10,
straight,s17,12,
straight,s10,0,
straight,s10,2,36.70769930653709
straight,s10,10,35.23016269684498
straight,s10,12,
straight,s22,0,
straight,s22,2,
straight,s22,10,
straight,s22,12,
straight,s28,0,
straight,s28,2,
straight,s28,10,
straight,s28,12,
straight,s31,0,
straight,s31,2,
straight,s31,10,
straight,s31,12,
straight,s18,0,
straight,s18,2,
straight,s18,10,
straight,s18,12,
straight,s29,0,
straight,s29,2,
straight,s29,10,
straight,s29,12,
straight,s6,0,18.338951683110214
straight,s6,2,19.073646483984323
straight,s6,10,18.21072249578954
straight,s6,12,20.49928871034546
straight,s34,0,
straight,s34,2,
straight,s34,10,
straight,s34,12,
straight,s11,0,
straight,s11,2,40.23029622325688
straight,s11,10,38.498169689697995
